Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-08-21,120.144,128.521,120.144,126.375,513900,0.0,0.0
2019-08-22,127.125,128.369,126.071,128.046,153400,0.0,0.0
2019-08-23,127.448,127.448,123.877,124.266,237100,0.0,0.0
2019-08-26,126.533,126.533,123.828,125.152,132300,0.38,0.0
2019-08-27,125.695,127.343,125.228,126.628,120400,0.0,0.0
2019-08-28,126.095,127.991,125.866,126.876,118700,0.0,0.0
2019-08-29,128.305,129.324,127.952,129.143,130100,0.0,0.0
2019-08-30,129.943,130.267,128.476,129.505,182700,0.0,0.0
2019-09-03,128.772,129.372,124.676,125.533,164300,0.0,0.0
2019-09-04,126.79,127.8,126.009,127.133,164600,0.0,0.0
2019-09-05,128.772,132.448,126.867,132.153,315100,0.0,0.0
2019-09-06,132.629,133.487,131.496,131.858,168100,0.0,0.0
2019-09-09,132.344,135.601,132.125,135.563,181500,0.0,0.0
2019-09-10,135.258,138.602,134.544,138.468,172900,0.0,0.0
2019-09-11,138.878,140.573,137.24,140.45,178400,0.0,0.0
2019-09-12,140.821,140.897,138.535,139.83,142900,0.0,0.0
2019-09-13,139.545,141.307,138.63,139.316,183700,0.0,0.0
2019-09-16,138.411,139.488,137.573,138.392,163300,0.0,0.0
2019-09-17,138.202,139.402,136.411,138.973,149000,0.0,0.0
2019-09-18,138.449,138.906,136.982,138.106,124600,0.0,0.0
2019-09-19,138.383,140.021,137.573,138.43,198000,0.0,0.0
2019-09-20,138.649,139.373,136.706,136.878,506800,0.0,0.0
2019-09-23,136.278,139.021,136.278,138.392,159900,0.0,0.0
2019-09-24,138.402,139.84,135.744,136.22,177700,0.0,0.0
2019-09-25,136.316,138.802,136.22,138.325,141600,0.0,0.0
2019-09-26,137.525,138.602,136.925,137.763,106300,0.0,0.0
2019-09-27,138.392,138.392,136.563,137.421,122500,0.0,0.0
2019-09-30,137.706,139.535,137.373,139.316,157400,0.0,0.0
2019-10-01,139.545,140.802,135.106,135.192,106100,0.0,0.0
2019-10-02,134.058,134.525,129.981,131.401,197300,0.0,0.0
2019-10-03,131.401,132.306,128.705,131.763,130400,0.0,0.0
2019-10-04,132.115,134.544,132.048,134.163,123400,0.0,0.0
2019-10-07,133.163,135.363,133.163,134.344,103200,0.0,0.0
2019-10-08,133.363,133.363,130.343,130.467,181300,0.0,0.0
2019-10-09,131.839,131.839,130.162,131.22,132800,0.0,0.0
2019-10-10,131.239,133.772,131.239,132.658,84800,0.0,0.0
2019-10-11,134.544,138.287,134.544,136.106,136200,0.0,0.0
2019-10-14,135.944,136.963,133.591,136.468,86600,0.0,0.0
2019-10-15,136.639,138.573,135.639,138.002,94200,0.0,0.0
2019-10-16,137.449,138.364,135.792,137.735,134300,0.0,0.0
2019-10-17,138.754,140.021,137.849,138.392,189600,0.0,0.0
2019-10-18,138.411,140.021,138.202,139.802,142200,0.0,0.0
2019-10-21,140.021,143.126,139.907,142.964,166500,0.0,0.0
2019-10-22,142.526,146.146,141.593,145.784,281300,0.0,0.0
2019-10-23,145.574,146.565,144.288,146.479,267500,0.0,0.0
2019-10-24,146.689,148.356,145.088,147.46,279400,0.0,0.0
2019-10-25,147.308,149.241,146.86,146.917,138100,0.0,0.0
2019-10-28,147.927,148.956,147.184,148.613,160200,0.0,0.0
